Device Info:
CPU: Intel64 Family 6 Model 183 Stepping 1, GenuineIntel (28 cores)
GPU: NVIDIA GeForce RTX 4070 SUPER
Memory: 18.9GB free / 31.8GB total
----------
2025-03-19 13:50:44 - Max FPS: 32.21, Min FPS: 10.71, Avg FPS: 25.30, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:45 - Max FPS: 32.10, Min FPS: 15.48, Avg FPS: 27.11, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:46 - Max FPS: 33.22, Min FPS: 15.22, Avg FPS: 26.88, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:47 - Max FPS: 33.34, Min FPS: 14.54, Avg FPS: 27.08, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:48 - Max FPS: 32.77, Min FPS: 17.58, Avg FPS: 24.97, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:49 - Max FPS: 32.85, Min FPS: 18.20, Avg FPS: 26.26, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:50 - Max FPS: 32.25, Min FPS: 14.32, Avg FPS: 22.77, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:51 - Max FPS: 32.25, Min FPS: 10.75, Avg FPS: 22.94, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:52 - Max FPS: 10.99, Min FPS: 7.96, Avg FPS: 10.10, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:53 - Max FPS: 12.97, Min FPS: 8.02, Avg FPS: 10.58, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:54 - Max FPS: 12.80, Min FPS: 7.06, Avg FPS: 9.84, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:56 - Max FPS: 12.86, Min FPS: 8.04, Avg FPS: 9.74, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:57 - Max FPS: 12.90, Min FPS: 8.02, Avg FPS: 10.19, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:58 - Max FPS: 12.90, Min FPS: 8.02, Avg FPS: 10.20, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:59 - Max FPS: 13.06, Min FPS: 7.09, Avg FPS: 9.98, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:00 - Max FPS: 10.98, Min FPS: 8.08, Avg FPS: 9.56, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:01 - Max FPS: 11.05, Min FPS: 8.06, Avg FPS: 9.68, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:02 - Max FPS: 12.83, Min FPS: 9.14, Avg FPS: 11.07, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:03 - Max FPS: 12.96, Min FPS: 7.95, Avg FPS: 10.18, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:04 - Max FPS: 12.93, Min FPS: 6.47, Avg FPS: 10.13, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:05 - Max FPS: 12.89, Min FPS: 8.09, Avg FPS: 10.29, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:06 - Max FPS: 13.03, Min FPS: 9.20, Avg FPS: 10.98, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:07 - Max FPS: 13.11, Min FPS: 9.04, Avg FPS: 10.75, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:08 - Max FPS: 12.99, Min FPS: 8.01, Avg FPS: 10.69, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:09 - Max FPS: 16.11, Min FPS: 7.86, Avg FPS: 11.30, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:10 - Max FPS: 13.33, Min FPS: 9.09, Avg FPS: 11.12, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:11 - Max FPS: 33.28, Min FPS: 5.66, Avg FPS: 26.27, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:28 - Max FPS: 23.26, Min FPS: 9.68, Avg FPS: 19.24, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:29 - Max FPS: 22.97, Min FPS: 13.93, Avg FPS: 20.85, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:30 - Max FPS: 22.73, Min FPS: 13.60, Avg FPS: 20.73, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:31 - Max FPS: 22.72, Min FPS: 13.68, Avg FPS: 20.70, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:32 - Max FPS: 26.83, Min FPS: 3.62, Avg FPS: 19.05, Predictions per frame: 0.40, PPS: 6
2025-03-19 15:13:33 - Max FPS: 30.22, Min FPS: 11.79, Avg FPS: 21.61, Predictions per frame: 0.05, PPS: 1
2025-03-19 15:13:34 - Max FPS: 22.39, Min FPS: 14.25, Avg FPS: 20.70, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:35 - Max FPS: 23.70, Min FPS: 14.23, Avg FPS: 21.02, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:36 - Max FPS: 22.61, Min FPS: 13.74, Avg FPS: 20.94, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:37 - Max FPS: 23.59, Min FPS: 13.46, Avg FPS: 20.84, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:38 - Max FPS: 22.84, Min FPS: 13.63, Avg FPS: 20.89, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:39 - Max FPS: 22.51, Min FPS: 7.23, Avg FPS: 14.76, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:40 - Max FPS: 10.51, Min FPS: 7.08, Avg FPS: 8.70, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:41 - Max FPS: 9.28, Min FPS: 7.10, Avg FPS: 8.23, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:42 - Max FPS: 12.82, Min FPS: 7.06, Avg FPS: 9.14, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:43 - Max FPS: 10.74, Min FPS: 7.07, Avg FPS: 8.75, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:44 - Max FPS: 10.86, Min FPS: 6.32, Avg FPS: 9.09, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:45 - Max FPS: 10.45, Min FPS: 7.08, Avg FPS: 8.27, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:46 - Max FPS: 9.41, Min FPS: 7.25, Avg FPS: 8.50, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:47 - Max FPS: 10.84, Min FPS: 8.00, Avg FPS: 9.60, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:48 - Max FPS: 10.87, Min FPS: 7.18, Avg FPS: 9.61, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:49 - Max FPS: 12.98, Min FPS: 7.39, Avg FPS: 10.38, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:50 - Max FPS: 10.69, Min FPS: 8.00, Avg FPS: 9.04, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:51 - Max FPS: 10.62, Min FPS: 7.18, Avg FPS: 8.80, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:52 - Max FPS: 10.80, Min FPS: 8.30, Avg FPS: 9.69, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:54 - Max FPS: 10.87, Min FPS: 8.08, Avg FPS: 9.47, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:55 - Max FPS: 10.83, Min FPS: 5.81, Avg FPS: 9.24, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:56 - Max FPS: 10.90, Min FPS: 7.08, Avg FPS: 9.23, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:57 - Max FPS: 11.14, Min FPS: 5.40, Avg FPS: 9.14, Predictions per frame: 0.11, PPS: 1
2025-03-19 15:13:58 - Max FPS: 11.14, Min FPS: 8.99, Avg FPS: 9.80, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:13:59 - Max FPS: 12.87, Min FPS: 8.25, Avg FPS: 9.95, Predictions per frame: 0.00, PPS: 0
2025-03-19 15:14:00 - Max FPS: 10.93, Min FPS: 5.85, Avg FPS: 8.32, Predictions per frame: 0.56, PPS: 5
2025-03-19 15:14:01 - Max FPS: 6.55, Min FPS: 5.82, Avg FPS: 6.28, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:02 - Max FPS: 7.24, Min FPS: 5.85, Avg FPS: 6.32, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:03 - Max FPS: 9.40, Min FPS: 4.53, Avg FPS: 7.32, Predictions per frame: 0.29, PPS: 2
2025-03-19 15:14:04 - Max FPS: 9.30, Min FPS: 5.45, Avg FPS: 7.92, Predictions per frame: 0.38, PPS: 3
2025-03-19 15:14:05 - Max FPS: 12.80, Min FPS: 5.31, Avg FPS: 8.50, Predictions per frame: 0.44, PPS: 4
2025-03-19 15:14:06 - Max FPS: 7.36, Min FPS: 5.43, Avg FPS: 6.47, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:07 - Max FPS: 9.38, Min FPS: 5.85, Avg FPS: 6.90, Predictions per frame: 0.57, PPS: 4
2025-03-19 15:14:09 - Max FPS: 8.07, Min FPS: 5.02, Avg FPS: 6.72, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:10 - Max FPS: 7.28, Min FPS: 4.97, Avg FPS: 6.47, Predictions per frame: 1.00, PPS: 7
2025-03-19 15:14:11 - Max FPS: 9.10, Min FPS: 5.40, Avg FPS: 7.19, Predictions per frame: 0.57, PPS: 4
