Device Info:
CPU: Intel64 Family 6 Model 186 Stepping 2, GenuineIntel (20 cores)
GPU: Not available
Memory: 5.6GB free / 15.6GB total
----------
2025-03-14 05:51:24 - Max FPS: 10.15, Min FPS: 0.45, Avg FPS: 5.30, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:51:25 - Max FPS: 21.16, Min FPS: 10.28, Avg FPS: 14.63, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:51:27 - Max FPS: 16.33, Min FPS: 0.69, Avg FPS: 12.42, Predictions per frame: 0.12, PPS: 1
2025-03-14 05:51:29 - Max FPS: 16.20, Min FPS: 2.05, Avg FPS: 6.02, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:30 - Max FPS: 1.91, Min FPS: 1.83, Avg FPS: 1.87, Predictions per frame: 1.00, PPS: 2
2025-03-14 05:51:31 - Max FPS: 3.32, Min FPS: 1.88, Avg FPS: 2.81, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:51:32 - Max FPS: 4.49, Min FPS: 2.85, Avg FPS: 3.47, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:33 - Max FPS: 4.00, Min FPS: 3.31, Avg FPS: 3.55, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:34 - Max FPS: 4.62, Min FPS: 3.44, Avg FPS: 4.06, Predictions per frame: 1.00, PPS: 5
2025-03-14 05:51:35 - Max FPS: 4.27, Min FPS: 3.54, Avg FPS: 3.92, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:36 - Max FPS: 4.22, Min FPS: 3.47, Avg FPS: 3.80, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:38 - Max FPS: 4.41, Min FPS: 3.99, Avg FPS: 4.26, Predictions per frame: 1.00, PPS: 5
2025-03-14 05:51:39 - Max FPS: 4.21, Min FPS: 3.36, Avg FPS: 3.93, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:40 - Max FPS: 4.51, Min FPS: 3.31, Avg FPS: 3.67, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:41 - Max FPS: 4.27, Min FPS: 3.40, Avg FPS: 3.83, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:42 - Max FPS: 4.25, Min FPS: 3.48, Avg FPS: 3.99, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:43 - Max FPS: 4.29, Min FPS: 3.31, Avg FPS: 3.93, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:44 - Max FPS: 4.22, Min FPS: 3.52, Avg FPS: 3.91, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:45 - Max FPS: 3.92, Min FPS: 2.68, Avg FPS: 3.36, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:46 - Max FPS: 3.96, Min FPS: 1.97, Avg FPS: 3.00, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:51:47 - Max FPS: 3.51, Min FPS: 1.99, Avg FPS: 2.61, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:51:49 - Max FPS: 3.11, Min FPS: 2.15, Avg FPS: 2.72, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:51:50 - Max FPS: 4.38, Min FPS: 3.21, Avg FPS: 3.98, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:51 - Max FPS: 4.01, Min FPS: 3.19, Avg FPS: 3.44, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:52 - Max FPS: 4.24, Min FPS: 3.19, Avg FPS: 3.86, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:53 - Max FPS: 4.28, Min FPS: 3.41, Avg FPS: 3.97, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:54 - Max FPS: 4.51, Min FPS: 3.48, Avg FPS: 4.13, Predictions per frame: 1.00, PPS: 5
2025-03-14 05:51:55 - Max FPS: 4.42, Min FPS: 3.15, Avg FPS: 3.52, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:56 - Max FPS: 4.29, Min FPS: 3.33, Avg FPS: 3.97, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:57 - Max FPS: 4.30, Min FPS: 3.33, Avg FPS: 3.92, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:58 - Max FPS: 4.25, Min FPS: 3.31, Avg FPS: 3.76, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:51:59 - Max FPS: 4.24, Min FPS: 3.44, Avg FPS: 4.01, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:52:00 - Max FPS: 4.35, Min FPS: 3.38, Avg FPS: 3.99, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:52:02 - Max FPS: 4.37, Min FPS: 3.40, Avg FPS: 4.06, Predictions per frame: 1.00, PPS: 5
2025-03-14 05:52:03 - Max FPS: 4.00, Min FPS: 3.26, Avg FPS: 3.66, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:52:04 - Max FPS: 3.98, Min FPS: 2.38, Avg FPS: 3.07, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:52:05 - Max FPS: 4.25, Min FPS: 2.33, Avg FPS: 3.48, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:52:06 - Max FPS: 2.34, Min FPS: 2.12, Avg FPS: 2.21, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:52:08 - Max FPS: 2.35, Min FPS: 2.20, Avg FPS: 2.27, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:52:09 - Max FPS: 3.60, Min FPS: 2.11, Avg FPS: 2.66, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:52:10 - Max FPS: 4.20, Min FPS: 2.61, Avg FPS: 3.43, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:52:11 - Max FPS: 3.87, Min FPS: 3.10, Avg FPS: 3.41, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:52:12 - Max FPS: 4.31, Min FPS: 3.35, Avg FPS: 3.83, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:52:13 - Max FPS: 15.50, Min FPS: 3.34, Avg FPS: 8.39, Predictions per frame: 0.33, PPS: 2
2025-03-14 05:52:14 - Max FPS: 19.83, Min FPS: 12.07, Avg FPS: 13.62, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:52:15 - Max FPS: 15.07, Min FPS: 9.92, Avg FPS: 11.87, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:52:16 - Max FPS: 13.94, Min FPS: 9.69, Avg FPS: 11.38, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:52:17 - Max FPS: 11.96, Min FPS: 9.17, Avg FPS: 10.65, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:52:18 - Max FPS: 11.22, Min FPS: 9.04, Avg FPS: 10.36, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:52:19 - Max FPS: 17.57, Min FPS: 9.16, Avg FPS: 11.36, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:52:20 - Max FPS: 15.77, Min FPS: 8.83, Avg FPS: 10.24, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:52:21 - Max FPS: 15.99, Min FPS: 10.01, Avg FPS: 11.22, Predictions per frame: 0.00, PPS: 0
