Device Info:
CPU: Intel64 Family 6 Model 183 Stepping 1, GenuineIntel (28 cores)
GPU: NVIDIA GeForce RTX 4070 SUPER
Memory: 12.2GB free / 31.8GB total
----------
2025-03-19 21:29:01 - Max FPS: 33.88, Min FPS: 2.80, Avg FPS: 24.60, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:02 - Max FPS: 32.27, Min FPS: 13.42, Avg FPS: 25.16, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:03 - Max FPS: 32.26, Min FPS: 4.24, Avg FPS: 22.92, Predictions per frame: 0.28, PPS: 5
2025-03-19 21:29:04 - Max FPS: 16.39, Min FPS: 11.23, Avg FPS: 15.47, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:29:05 - Max FPS: 16.53, Min FPS: 9.80, Avg FPS: 15.24, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:29:06 - Max FPS: 16.13, Min FPS: 11.46, Avg FPS: 14.43, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:29:07 - Max FPS: 16.11, Min FPS: 10.03, Avg FPS: 14.07, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:29:08 - Max FPS: 16.53, Min FPS: 11.61, Avg FPS: 14.96, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:29:09 - Max FPS: 16.23, Min FPS: 11.65, Avg FPS: 14.94, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:29:10 - Max FPS: 16.38, Min FPS: 10.96, Avg FPS: 14.87, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:29:11 - Max FPS: 16.26, Min FPS: 11.24, Avg FPS: 14.34, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:29:12 - Max FPS: 16.00, Min FPS: 11.50, Avg FPS: 14.04, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:29:13 - Max FPS: 33.89, Min FPS: 9.47, Avg FPS: 23.73, Predictions per frame: 0.24, PPS: 5
2025-03-19 21:29:14 - Max FPS: 32.49, Min FPS: 15.03, Avg FPS: 28.85, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:15 - Max FPS: 33.32, Min FPS: 17.77, Avg FPS: 26.85, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:17 - Max FPS: 33.02, Min FPS: 17.82, Avg FPS: 25.59, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:18 - Max FPS: 33.34, Min FPS: 13.66, Avg FPS: 27.33, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:19 - Max FPS: 33.32, Min FPS: 18.56, Avg FPS: 25.84, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:20 - Max FPS: 33.32, Min FPS: 17.30, Avg FPS: 23.31, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:21 - Max FPS: 32.76, Min FPS: 14.17, Avg FPS: 24.93, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:22 - Max FPS: 32.74, Min FPS: 17.70, Avg FPS: 23.50, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:23 - Max FPS: 33.18, Min FPS: 13.56, Avg FPS: 27.43, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:24 - Max FPS: 33.32, Min FPS: 16.61, Avg FPS: 25.78, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:25 - Max FPS: 32.20, Min FPS: 16.12, Avg FPS: 26.72, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:26 - Max FPS: 34.06, Min FPS: 15.66, Avg FPS: 28.03, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:27 - Max FPS: 33.33, Min FPS: 17.41, Avg FPS: 26.52, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:28 - Max FPS: 32.81, Min FPS: 15.28, Avg FPS: 29.34, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:29:29 - Max FPS: 33.33, Min FPS: 9.66, Avg FPS: 22.72, Predictions per frame: 0.14, PPS: 3
2025-03-19 21:29:30 - Max FPS: 15.60, Min FPS: 9.68, Avg FPS: 12.97, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:29:31 - Max FPS: 14.29, Min FPS: 12.58, Avg FPS: 13.01, Predictions per frame: 1.00, PPS: 13
2025-03-19 21:29:32 - Max FPS: 15.74, Min FPS: 9.47, Avg FPS: 12.98, Predictions per frame: 1.00, PPS: 13
2025-03-19 21:29:33 - Max FPS: 14.57, Min FPS: 10.86, Avg FPS: 12.99, Predictions per frame: 1.00, PPS: 13
2025-03-19 21:29:34 - Max FPS: 15.06, Min FPS: 6.54, Avg FPS: 12.31, Predictions per frame: 1.00, PPS: 12
2025-03-19 21:29:35 - Max FPS: 33.08, Min FPS: 12.78, Avg FPS: 25.35, Predictions per frame: 0.04, PPS: 1
2025-03-19 21:29:36 - Max FPS: 32.77, Min FPS: 15.63, Avg FPS: 28.42, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:22 - Max FPS: 32.25, Min FPS: 2.93, Avg FPS: 23.33, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:23 - Max FPS: 38.41, Min FPS: 17.73, Avg FPS: 30.37, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:24 - Max FPS: 37.04, Min FPS: 16.75, Avg FPS: 30.56, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:25 - Max FPS: 33.31, Min FPS: 3.93, Avg FPS: 19.60, Predictions per frame: 0.62, PPS: 10
2025-03-19 21:34:26 - Max FPS: 16.44, Min FPS: 11.35, Avg FPS: 14.98, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:27 - Max FPS: 16.66, Min FPS: 11.67, Avg FPS: 15.55, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:28 - Max FPS: 16.67, Min FPS: 7.15, Avg FPS: 14.81, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:34:29 - Max FPS: 16.44, Min FPS: 11.25, Avg FPS: 15.40, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:30 - Max FPS: 16.39, Min FPS: 11.68, Avg FPS: 15.42, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:31 - Max FPS: 16.78, Min FPS: 11.43, Avg FPS: 15.50, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:32 - Max FPS: 16.46, Min FPS: 11.09, Avg FPS: 15.42, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:34 - Max FPS: 16.65, Min FPS: 11.14, Avg FPS: 15.36, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:35 - Max FPS: 16.66, Min FPS: 11.65, Avg FPS: 15.04, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:36 - Max FPS: 16.68, Min FPS: 11.16, Avg FPS: 15.53, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:37 - Max FPS: 16.62, Min FPS: 9.83, Avg FPS: 14.94, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:38 - Max FPS: 16.55, Min FPS: 9.39, Avg FPS: 15.19, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:39 - Max FPS: 16.47, Min FPS: 11.30, Avg FPS: 15.10, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:40 - Max FPS: 16.66, Min FPS: 11.34, Avg FPS: 15.63, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:41 - Max FPS: 16.28, Min FPS: 11.07, Avg FPS: 14.85, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:42 - Max FPS: 16.38, Min FPS: 11.51, Avg FPS: 15.27, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:43 - Max FPS: 16.58, Min FPS: 11.43, Avg FPS: 15.21, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:44 - Max FPS: 16.94, Min FPS: 11.43, Avg FPS: 15.71, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:45 - Max FPS: 16.57, Min FPS: 11.41, Avg FPS: 15.09, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:46 - Max FPS: 16.40, Min FPS: 11.26, Avg FPS: 14.76, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:47 - Max FPS: 16.39, Min FPS: 11.20, Avg FPS: 15.07, Predictions per frame: 1.00, PPS: 16
2025-03-19 21:34:48 - Max FPS: 16.13, Min FPS: 12.82, Avg FPS: 14.94, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:49 - Max FPS: 16.26, Min FPS: 11.08, Avg FPS: 14.93, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:50 - Max FPS: 16.32, Min FPS: 11.52, Avg FPS: 14.53, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:34:51 - Max FPS: 34.46, Min FPS: 10.86, Avg FPS: 22.61, Predictions per frame: 0.45, PPS: 9
2025-03-19 21:34:52 - Max FPS: 39.91, Min FPS: 16.75, Avg FPS: 31.80, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:53 - Max FPS: 38.14, Min FPS: 16.11, Avg FPS: 30.40, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:54 - Max FPS: 37.79, Min FPS: 15.78, Avg FPS: 27.93, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:55 - Max FPS: 34.43, Min FPS: 13.65, Avg FPS: 30.80, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:34:56 - Max FPS: 35.44, Min FPS: 13.86, Avg FPS: 31.49, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:38:43 - Max FPS: 38.45, Min FPS: 2.92, Avg FPS: 28.91, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:38:44 - Max FPS: 38.44, Min FPS: 13.57, Avg FPS: 30.56, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:38:45 - Max FPS: 39.46, Min FPS: 12.66, Avg FPS: 31.13, Predictions per frame: 0.00, PPS: 0
2025-03-19 21:38:46 - Max FPS: 33.34, Min FPS: 4.28, Avg FPS: 17.88, Predictions per frame: 0.86, PPS: 12
2025-03-19 21:38:47 - Max FPS: 16.67, Min FPS: 9.74, Avg FPS: 14.15, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:38:48 - Max FPS: 16.34, Min FPS: 11.56, Avg FPS: 14.87, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:38:49 - Max FPS: 16.33, Min FPS: 7.04, Avg FPS: 14.62, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:38:50 - Max FPS: 16.19, Min FPS: 12.90, Avg FPS: 15.11, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:38:51 - Max FPS: 16.34, Min FPS: 11.27, Avg FPS: 14.11, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:38:52 - Max FPS: 16.00, Min FPS: 11.39, Avg FPS: 14.03, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:38:53 - Max FPS: 16.26, Min FPS: 11.30, Avg FPS: 14.79, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:38:54 - Max FPS: 15.98, Min FPS: 9.54, Avg FPS: 14.20, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:38:55 - Max FPS: 16.19, Min FPS: 9.64, Avg FPS: 13.72, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:38:56 - Max FPS: 16.24, Min FPS: 10.98, Avg FPS: 14.43, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:38:57 - Max FPS: 16.25, Min FPS: 9.68, Avg FPS: 14.13, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:38:58 - Max FPS: 16.00, Min FPS: 9.92, Avg FPS: 14.09, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:38:59 - Max FPS: 15.87, Min FPS: 9.72, Avg FPS: 13.94, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:00 - Max FPS: 16.12, Min FPS: 8.52, Avg FPS: 13.51, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:01 - Max FPS: 15.85, Min FPS: 9.90, Avg FPS: 13.69, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:02 - Max FPS: 15.88, Min FPS: 11.29, Avg FPS: 14.09, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:03 - Max FPS: 16.14, Min FPS: 9.65, Avg FPS: 14.40, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:04 - Max FPS: 16.00, Min FPS: 11.42, Avg FPS: 13.40, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:06 - Max FPS: 15.99, Min FPS: 11.11, Avg FPS: 14.16, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:07 - Max FPS: 15.97, Min FPS: 9.66, Avg FPS: 14.24, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:08 - Max FPS: 16.25, Min FPS: 9.85, Avg FPS: 14.46, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:09 - Max FPS: 16.60, Min FPS: 9.57, Avg FPS: 14.47, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:10 - Max FPS: 15.95, Min FPS: 11.14, Avg FPS: 13.63, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:11 - Max FPS: 16.05, Min FPS: 11.27, Avg FPS: 14.42, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:12 - Max FPS: 15.86, Min FPS: 8.66, Avg FPS: 13.14, Predictions per frame: 1.00, PPS: 13
2025-03-19 21:39:13 - Max FPS: 15.62, Min FPS: 11.22, Avg FPS: 13.39, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:14 - Max FPS: 15.84, Min FPS: 9.61, Avg FPS: 13.51, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:15 - Max FPS: 16.22, Min FPS: 11.00, Avg FPS: 14.35, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:16 - Max FPS: 15.97, Min FPS: 11.20, Avg FPS: 14.04, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:17 - Max FPS: 16.07, Min FPS: 8.46, Avg FPS: 13.81, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:18 - Max FPS: 16.12, Min FPS: 11.34, Avg FPS: 14.16, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:19 - Max FPS: 16.26, Min FPS: 11.51, Avg FPS: 14.70, Predictions per frame: 1.00, PPS: 15
2025-03-19 21:39:20 - Max FPS: 15.95, Min FPS: 9.60, Avg FPS: 13.70, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:21 - Max FPS: 16.08, Min FPS: 9.62, Avg FPS: 13.64, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:22 - Max FPS: 15.99, Min FPS: 11.33, Avg FPS: 14.04, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:23 - Max FPS: 15.74, Min FPS: 11.38, Avg FPS: 13.60, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:24 - Max FPS: 16.12, Min FPS: 12.73, Avg FPS: 13.96, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:25 - Max FPS: 15.88, Min FPS: 9.61, Avg FPS: 13.74, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:26 - Max FPS: 15.99, Min FPS: 10.22, Avg FPS: 13.91, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:27 - Max FPS: 15.76, Min FPS: 9.38, Avg FPS: 13.00, Predictions per frame: 1.00, PPS: 13
2025-03-19 21:39:28 - Max FPS: 15.87, Min FPS: 9.52, Avg FPS: 13.02, Predictions per frame: 1.00, PPS: 13
2025-03-19 21:39:29 - Max FPS: 15.99, Min FPS: 9.63, Avg FPS: 13.85, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:30 - Max FPS: 16.06, Min FPS: 9.53, Avg FPS: 13.67, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:31 - Max FPS: 16.39, Min FPS: 9.90, Avg FPS: 13.66, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:32 - Max FPS: 16.11, Min FPS: 9.54, Avg FPS: 14.21, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:34 - Max FPS: 16.13, Min FPS: 7.20, Avg FPS: 13.13, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:35 - Max FPS: 16.10, Min FPS: 11.33, Avg FPS: 14.08, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:36 - Max FPS: 16.02, Min FPS: 11.18, Avg FPS: 13.77, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:37 - Max FPS: 16.00, Min FPS: 9.54, Avg FPS: 13.90, Predictions per frame: 1.00, PPS: 14
2025-03-19 21:39:38 - Max FPS: 16.27, Min FPS: 11.22, Avg FPS: 14.13, Predictions per frame: 1.00, PPS: 15
