Device Info:
CPU: Intel64 Family 6 Model 186 Stepping 2, GenuineIntel (20 cores)
GPU: Not available
Memory: 6.4GB free / 15.6GB total
----------
2025-03-14 05:47:18 - Max FPS: 0.69, Min FPS: 0.69, Avg FPS: 0.69, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:47:19 - Max FPS: 16.84, Min FPS: 7.65, Avg FPS: 13.58, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:47:20 - Max FPS: 18.58, Min FPS: 10.03, Avg FPS: 14.95, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:47:21 - Max FPS: 16.95, Min FPS: 9.02, Avg FPS: 14.93, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:47:22 - Max FPS: 19.83, Min FPS: 9.68, Avg FPS: 14.42, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:47:23 - Max FPS: 16.09, Min FPS: 9.15, Avg FPS: 11.61, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:47:24 - Max FPS: 15.94, Min FPS: 10.14, Avg FPS: 12.45, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:47:25 - Max FPS: 17.09, Min FPS: 10.12, Avg FPS: 13.03, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:47:26 - Max FPS: 16.86, Min FPS: 10.42, Avg FPS: 14.63, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:47:28 - Max FPS: 15.81, Min FPS: 0.88, Avg FPS: 11.75, Predictions per frame: 0.08, PPS: 1
2025-03-14 05:47:29 - Max FPS: 14.70, Min FPS: 3.34, Avg FPS: 8.02, Predictions per frame: 0.83, PPS: 5
2025-03-14 05:47:31 - Max FPS: 6.39, Min FPS: 4.80, Avg FPS: 5.64, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:31 - Max FPS: 6.45, Min FPS: 4.88, Avg FPS: 5.88, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:33 - Max FPS: 6.55, Min FPS: 4.84, Avg FPS: 6.07, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:47:34 - Max FPS: 6.50, Min FPS: 4.86, Avg FPS: 5.90, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:35 - Max FPS: 6.54, Min FPS: 4.84, Avg FPS: 5.96, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:47:36 - Max FPS: 6.49, Min FPS: 4.92, Avg FPS: 6.12, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:47:37 - Max FPS: 6.33, Min FPS: 2.93, Avg FPS: 5.34, Predictions per frame: 1.00, PPS: 5
2025-03-14 05:47:38 - Max FPS: 6.54, Min FPS: 4.87, Avg FPS: 5.89, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:39 - Max FPS: 7.00, Min FPS: 4.89, Avg FPS: 6.00, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:40 - Max FPS: 6.44, Min FPS: 4.87, Avg FPS: 5.85, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:41 - Max FPS: 6.43, Min FPS: 4.86, Avg FPS: 5.85, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:42 - Max FPS: 6.62, Min FPS: 4.85, Avg FPS: 5.90, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:43 - Max FPS: 6.35, Min FPS: 4.89, Avg FPS: 5.73, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:44 - Max FPS: 6.53, Min FPS: 4.81, Avg FPS: 5.97, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:47:46 - Max FPS: 6.46, Min FPS: 5.93, Avg FPS: 6.30, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:47:47 - Max FPS: 7.07, Min FPS: 4.83, Avg FPS: 5.79, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:48 - Max FPS: 7.07, Min FPS: 5.70, Avg FPS: 6.21, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:47:49 - Max FPS: 6.89, Min FPS: 4.88, Avg FPS: 6.26, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:47:50 - Max FPS: 6.51, Min FPS: 4.79, Avg FPS: 5.89, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:51 - Max FPS: 6.47, Min FPS: 4.85, Avg FPS: 5.72, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:52 - Max FPS: 6.41, Min FPS: 4.82, Avg FPS: 5.77, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:53 - Max FPS: 6.73, Min FPS: 4.58, Avg FPS: 5.86, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:54 - Max FPS: 6.94, Min FPS: 4.84, Avg FPS: 5.97, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:55 - Max FPS: 6.52, Min FPS: 4.98, Avg FPS: 5.87, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:56 - Max FPS: 6.91, Min FPS: 5.28, Avg FPS: 6.04, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:47:57 - Max FPS: 6.61, Min FPS: 4.84, Avg FPS: 5.97, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:47:59 - Max FPS: 7.05, Min FPS: 4.88, Avg FPS: 6.27, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:00 - Max FPS: 6.54, Min FPS: 4.72, Avg FPS: 5.62, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:01 - Max FPS: 6.51, Min FPS: 4.99, Avg FPS: 5.90, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:02 - Max FPS: 6.46, Min FPS: 5.23, Avg FPS: 6.01, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:03 - Max FPS: 7.01, Min FPS: 5.26, Avg FPS: 6.25, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:04 - Max FPS: 6.84, Min FPS: 4.86, Avg FPS: 5.81, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:05 - Max FPS: 6.53, Min FPS: 4.89, Avg FPS: 6.00, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:06 - Max FPS: 7.11, Min FPS: 4.76, Avg FPS: 6.36, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:07 - Max FPS: 6.45, Min FPS: 5.69, Avg FPS: 6.23, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:08 - Max FPS: 6.98, Min FPS: 4.85, Avg FPS: 5.97, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:09 - Max FPS: 7.12, Min FPS: 4.78, Avg FPS: 5.99, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:10 - Max FPS: 7.08, Min FPS: 4.78, Avg FPS: 5.78, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:12 - Max FPS: 6.43, Min FPS: 4.80, Avg FPS: 5.88, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:13 - Max FPS: 7.04, Min FPS: 4.85, Avg FPS: 5.98, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:14 - Max FPS: 6.38, Min FPS: 4.84, Avg FPS: 5.61, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:15 - Max FPS: 6.47, Min FPS: 4.85, Avg FPS: 5.67, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:16 - Max FPS: 6.59, Min FPS: 4.92, Avg FPS: 5.80, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:17 - Max FPS: 6.81, Min FPS: 4.89, Avg FPS: 5.84, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:18 - Max FPS: 6.34, Min FPS: 4.85, Avg FPS: 5.60, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:19 - Max FPS: 6.47, Min FPS: 4.86, Avg FPS: 5.96, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:20 - Max FPS: 6.62, Min FPS: 3.91, Avg FPS: 5.55, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:21 - Max FPS: 6.71, Min FPS: 5.04, Avg FPS: 5.76, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:22 - Max FPS: 6.90, Min FPS: 6.07, Avg FPS: 6.47, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:23 - Max FPS: 16.80, Min FPS: 4.95, Avg FPS: 7.85, Predictions per frame: 0.71, PPS: 5
2025-03-14 05:48:24 - Max FPS: 20.83, Min FPS: 5.15, Avg FPS: 9.87, Predictions per frame: 0.62, PPS: 5
2025-03-14 05:48:25 - Max FPS: 6.51, Min FPS: 4.87, Avg FPS: 6.01, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:26 - Max FPS: 16.41, Min FPS: 6.32, Avg FPS: 12.19, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:27 - Max FPS: 16.24, Min FPS: 10.52, Avg FPS: 12.17, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:28 - Max FPS: 19.57, Min FPS: 9.92, Avg FPS: 14.15, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:29 - Max FPS: 15.39, Min FPS: 10.58, Avg FPS: 12.40, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:30 - Max FPS: 12.94, Min FPS: 10.13, Avg FPS: 11.31, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:16 - Max FPS: 6.39, Min FPS: 1.08, Avg FPS: 3.74, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:17 - Max FPS: 16.17, Min FPS: 9.59, Avg FPS: 13.52, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:18 - Max FPS: 18.03, Min FPS: 11.41, Avg FPS: 14.49, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:20 - Max FPS: 17.37, Min FPS: 8.46, Avg FPS: 14.54, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:21 - Max FPS: 16.85, Min FPS: 12.91, Avg FPS: 15.14, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:22 - Max FPS: 15.41, Min FPS: 11.19, Avg FPS: 13.08, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:56:23 - Max FPS: 16.70, Min FPS: 12.17, Avg FPS: 13.29, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:46 - Max FPS: 0.95, Min FPS: 0.95, Avg FPS: 0.95, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:47 - Max FPS: 37.05, Min FPS: 12.32, Avg FPS: 30.96, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:48 - Max FPS: 37.02, Min FPS: 16.94, Avg FPS: 31.21, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:49 - Max FPS: 35.67, Min FPS: 18.37, Avg FPS: 30.33, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:50 - Max FPS: 40.01, Min FPS: 14.19, Avg FPS: 31.03, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:51 - Max FPS: 39.40, Min FPS: 14.18, Avg FPS: 30.43, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:49:52 - Max FPS: 32.25, Min FPS: 12.55, Avg FPS: 25.58, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:36 - Max FPS: 29.40, Min FPS: 1.32, Avg FPS: 20.03, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:37 - Max FPS: 32.88, Min FPS: 18.03, Avg FPS: 25.71, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:38 - Max FPS: 31.76, Min FPS: 16.59, Avg FPS: 23.29, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:39 - Max FPS: 32.38, Min FPS: 13.98, Avg FPS: 23.15, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:40 - Max FPS: 31.24, Min FPS: 17.77, Avg FPS: 24.13, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:41 - Max FPS: 32.25, Min FPS: 11.34, Avg FPS: 25.72, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:42 - Max FPS: 32.89, Min FPS: 14.59, Avg FPS: 25.98, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:50:43 - Max FPS: 32.54, Min FPS: 18.37, Avg FPS: 28.38, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:56 - Max FPS: 33.32, Min FPS: 1.58, Avg FPS: 24.49, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:57 - Max FPS: 32.77, Min FPS: 14.15, Avg FPS: 24.27, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:58 - Max FPS: 32.80, Min FPS: 15.15, Avg FPS: 28.28, Predictions per frame: 0.00, PPS: 0
2025-03-19 13:51:59 - Max FPS: 32.25, Min FPS: 14.26, Avg FPS: 28.16, Predictions per frame: 0.00, PPS: 0
