Device Info:
CPU: Intel64 Family 6 Model 186 Stepping 2, GenuineIntel (20 cores)
GPU: Not available
Memory: 6.2GB free / 15.6GB total
----------
2025-03-14 05:48:32 - Max FPS: 10.70, Min FPS: 0.60, Avg FPS: 7.31, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:33 - Max FPS: 12.13, Min FPS: 8.79, Avg FPS: 10.51, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:34 - Max FPS: 15.92, Min FPS: 9.57, Avg FPS: 12.79, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:48:36 - Max FPS: 16.23, Min FPS: 0.83, Avg FPS: 10.59, Predictions per frame: 0.12, PPS: 1
2025-03-14 05:48:37 - Max FPS: 15.73, Min FPS: 4.76, Avg FPS: 6.97, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:38 - Max FPS: 6.95, Min FPS: 6.20, Avg FPS: 6.46, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:40 - Max FPS: 6.46, Min FPS: 5.27, Avg FPS: 6.24, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:41 - Max FPS: 6.45, Min FPS: 4.93, Avg FPS: 6.00, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:42 - Max FPS: 6.46, Min FPS: 5.91, Avg FPS: 6.28, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:43 - Max FPS: 7.03, Min FPS: 5.28, Avg FPS: 6.23, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:44 - Max FPS: 6.73, Min FPS: 5.06, Avg FPS: 6.08, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:45 - Max FPS: 6.71, Min FPS: 4.65, Avg FPS: 5.79, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:46 - Max FPS: 6.82, Min FPS: 5.44, Avg FPS: 6.28, Predictions per frame: 1.00, PPS: 7
2025-03-14 05:48:47 - Max FPS: 6.87, Min FPS: 4.89, Avg FPS: 5.91, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:48:48 - Max FPS: 6.97, Min FPS: 5.30, Avg FPS: 6.17, Predictions per frame: 1.00, PPS: 7
