Device Info:
CPU: Intel64 Family 6 Model 186 Stepping 2, GenuineIntel (20 cores)
GPU: Not available
Memory: 5.9GB free / 15.6GB total
----------
2025-03-14 05:52:28 - Max FPS: 0.14, Min FPS: 0.14, Avg FPS: 0.14, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:52:29 - Max FPS: 17.33, Min FPS: 10.38, Avg FPS: 12.94, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:52:30 - Max FPS: 16.53, Min FPS: 10.09, Avg FPS: 12.69, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:52:35 - Max FPS: 16.15, Min FPS: 0.24, Avg FPS: 11.78, Predictions per frame: 0.10, PPS: 1
2025-03-14 05:52:37 - Max FPS: 15.74, Min FPS: 4.55, Avg FPS: 6.93, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:38 - Max FPS: 5.34, Min FPS: 4.98, Avg FPS: 5.23, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:39 - Max FPS: 5.56, Min FPS: 5.22, Avg FPS: 5.35, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:40 - Max FPS: 5.36, Min FPS: 4.49, Avg FPS: 4.93, Predictions per frame: 1.00, PPS: 5
2025-03-14 05:52:41 - Max FPS: 5.39, Min FPS: 4.84, Avg FPS: 5.16, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:42 - Max FPS: 5.37, Min FPS: 4.52, Avg FPS: 5.19, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:43 - Max FPS: 5.46, Min FPS: 4.90, Avg FPS: 5.22, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:44 - Max FPS: 5.38, Min FPS: 4.53, Avg FPS: 5.18, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:46 - Max FPS: 5.39, Min FPS: 1.54, Avg FPS: 4.60, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:47 - Max FPS: 2.58, Min FPS: 2.45, Avg FPS: 2.53, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:52:49 - Max FPS: 2.55, Min FPS: 2.42, Avg FPS: 2.50, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:52:50 - Max FPS: 2.72, Min FPS: 2.38, Avg FPS: 2.53, Predictions per frame: 1.00, PPS: 3
2025-03-14 05:52:51 - Max FPS: 5.76, Min FPS: 5.23, Avg FPS: 5.40, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:52 - Max FPS: 5.38, Min FPS: 4.54, Avg FPS: 5.17, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:53 - Max FPS: 5.39, Min FPS: 4.79, Avg FPS: 5.15, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:54 - Max FPS: 5.34, Min FPS: 5.15, Avg FPS: 5.27, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:55 - Max FPS: 5.52, Min FPS: 4.32, Avg FPS: 5.18, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:57 - Max FPS: 5.41, Min FPS: 4.53, Avg FPS: 5.17, Predictions per frame: 1.00, PPS: 6
2025-03-14 05:52:58 - Max FPS: 5.42, Min FPS: 5.17, Avg FPS: 5.29, Predictions per frame: 1.00, PPS: 6
