Device Info:
CPU: Intel64 Family 6 Model 186 Stepping 2, GenuineIntel (20 cores)
GPU: Not available
Memory: 5.8GB free / 15.6GB total
----------
2025-03-14 05:50:24 - Max FPS: 16.68, Min FPS: 0.91, Avg FPS: 10.88, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:50:25 - Max FPS: 16.76, Min FPS: 9.11, Avg FPS: 11.71, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:50:26 - Max FPS: 16.27, Min FPS: 10.60, Avg FPS: 13.14, Predictions per frame: 0.00, PPS: 0
2025-03-14 05:50:27 - Max FPS: 16.11, Min FPS: 1.17, Avg FPS: 11.44, Predictions per frame: 0.25, PPS: 1
2025-03-14 05:50:29 - Max FPS: 18.55, Min FPS: 3.24, Avg FPS: 6.49, Predictions per frame: 1.00, PPS: 5
2025-03-14 05:50:30 - Max FPS: 4.04, Min FPS: 3.34, Avg FPS: 3.71, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:31 - Max FPS: 4.03, Min FPS: 3.46, Avg FPS: 3.69, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:32 - Max FPS: 4.09, Min FPS: 3.48, Avg FPS: 3.91, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:33 - Max FPS: 3.98, Min FPS: 3.51, Avg FPS: 3.86, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:34 - Max FPS: 4.02, Min FPS: 3.52, Avg FPS: 3.86, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:35 - Max FPS: 4.01, Min FPS: 3.40, Avg FPS: 3.71, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:36 - Max FPS: 3.70, Min FPS: 3.48, Avg FPS: 3.55, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:38 - Max FPS: 3.91, Min FPS: 3.32, Avg FPS: 3.56, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:39 - Max FPS: 4.02, Min FPS: 3.47, Avg FPS: 3.75, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:40 - Max FPS: 4.08, Min FPS: 3.46, Avg FPS: 3.75, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:41 - Max FPS: 4.00, Min FPS: 3.47, Avg FPS: 3.75, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:42 - Max FPS: 3.91, Min FPS: 3.52, Avg FPS: 3.73, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:43 - Max FPS: 3.97, Min FPS: 3.46, Avg FPS: 3.73, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:44 - Max FPS: 3.77, Min FPS: 3.48, Avg FPS: 3.59, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:45 - Max FPS: 3.73, Min FPS: 3.33, Avg FPS: 3.52, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:46 - Max FPS: 3.60, Min FPS: 3.26, Avg FPS: 3.44, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:47 - Max FPS: 3.43, Min FPS: 3.26, Avg FPS: 3.35, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:49 - Max FPS: 3.77, Min FPS: 3.35, Avg FPS: 3.58, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:50 - Max FPS: 3.81, Min FPS: 3.25, Avg FPS: 3.51, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:51 - Max FPS: 3.97, Min FPS: 3.58, Avg FPS: 3.82, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:52 - Max FPS: 3.76, Min FPS: 3.55, Avg FPS: 3.70, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:53 - Max FPS: 3.98, Min FPS: 3.36, Avg FPS: 3.62, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:54 - Max FPS: 3.80, Min FPS: 3.34, Avg FPS: 3.59, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:55 - Max FPS: 4.14, Min FPS: 3.71, Avg FPS: 3.94, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:56 - Max FPS: 3.95, Min FPS: 3.54, Avg FPS: 3.73, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:57 - Max FPS: 3.95, Min FPS: 3.49, Avg FPS: 3.75, Predictions per frame: 1.00, PPS: 4
2025-03-14 05:50:59 - Max FPS: 4.15, Min FPS: 3.68, Avg FPS: 3.95, Predictions per frame: 1.00, PPS: 5
